dataset,kind,code,ROC-AUC,ROC-AUC_std,AP(bal),AP(bal)_std,PR-AUC@p,PR-AUC@p_std,Prec@80%rec,Prec@80%rec_std,Alert%,Alert%_std
PaySim (Lopez-Rojas),model,QDQS,0.9497333333333334,0.004047015361117677,0.9432333333333333,0.004050720100624857,0.19933333333333333,0.05401229798234222,0.0114,0.0007778174593051926,9.091800000000001,0.5992005715951699
PaySim (Lopez-Rojas),model,QSFA,0.9537666666666667,0.0060106849304566385,0.9476999999999999,0.002763150375970855,0.18643333333333334,0.11028296937121947,0.013133333333333332,0.004318950489798814,8.4261,2.5971404813756274
PaySim (Lopez-Rojas),model,QSFP,0.9537333333333334,0.006803920438463944,0.9478333333333334,0.0034253953543167356,0.17746666666666666,0.11091536563223933,0.012733333333333333,0.003870831090777976,8.659533333333334,2.4969053212593564
PaySim (Lopez-Rojas),model,VQDVF,0.9776666666666666,0.0018461672009294117,0.9749666666666666,0.0028510232081699343,0.2117,0.17641791292269615,0.05336666666666667,0.0056963438566622,1.9685,0.2072031370418951
PaySim (Lopez-Rojas),model,VQFA,0.9162333333333333,0.03694128223726572,0.8814000000000001,0.07077640849887917,0.06176666666666667,0.053417771699438496,0.007699999999999999,0.0031968734726291574,14.884566666666666,5.041120773531749
PaySim (Lopez-Rojas),model,VQFP,0.9118666666666666,0.03727215224981686,0.8767666666666667,0.06900509643014163,0.05656666666666666,0.04319789732537146,0.0075,0.002747726332806816,14.951100000000002,4.594759155820892
PaySim (Lopez-Rojas),model,VQQD,0.9549666666666666,0.00506540554480536,0.9487666666666668,0.005029247789990136,0.1434,0.10214254745207796,0.014033333333333333,0.005029247790011274,7.926466666666666,2.3830354546949835
PaySim (Lopez-Rojas),model,VQQS,0.9450666666666666,0.011497101083910083,0.9346,0.012926329718839273,0.17966666666666667,0.03693519098818008,0.0117,0.005095586325438906,9.857366666666666,3.534303939014495
PaySim (Lopez-Rojas),baseline,MLP,0.9942666666666667,0.0016980380834897102,0.9942000000000001,0.0031874754900989115,0.6355333333333334,0.1850561491367777,0.23096666666666665,0.12309369737453393,0.5752999999999999,0.30108310314595893
PaySim (Lopez-Rojas),baseline,XGBoost,0.9980666666666665,0.0007164728422056546,0.9981,0.0006708203931975185,0.8114666666666667,0.07866643714655787,0.5710666666666667,0.37149299230716754,0.24440000000000003,0.11438063647313726
PaySim (Lopez-Rojas),ensemble,Meta-learner (CV stack),0.9770666666666666,0.0012935738607554347,0.9723,0.007213875518743024,0.18889999999999998,0.07998796784517037,0.04953333333333334,0.008348852216522502,2.1344333333333334,0.3501779238234947
PaySim (Lopez-Rojas),ensemble,Top-5 weighted,0.9677666666666666,0.003466746793990152,0.9663,0.003014962686306889,0.22909999999999997,0.0603516362661363,0.022866666666666664,0.005415563990327656,4.6977,1.0521808874903569
PaySim (Lopez-Rojas),ensemble,Weighted vote (all 11),0.9626,0.004000624951177705,0.9586,0.003956008088960723,0.13633333333333333,0.033326540974624515,0.019466666666666667,0.006835446827628272,5.729833333333333,1.6988038183773129
